meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.020246983,5.88505125,5.501137733,5.768209934,5.69277668,5.325622082,5.186190128,5.544379234,5.847154617,5.781755447,5.637073517,5.678705215,5.745641708,5.633687973,5.564560413,5.621636868,5.764254093,5.896053791,5.460260391,5.838333607,5.918498039,5.956284046,5.88932848,5.826682091,156.5051644,158.0443288,159.5834932,161.1226575,162.6618219,164.2009863,165.7401507,167.2793151,168.8184795,170.3576438,5567.371534,7046.508507,8227.537192,9957.068356,11044.20801
X7,0.999786615,1.018199682,0.943250656,1.175266504,1.070389271,1.101294875,1.15407908,1.645659208,1.691364169,1.552904963,1.898701549,2.084575653,2.232423544,1.971279502,1.858823895,1.902698874,1.727397919,1.817686439,1.669413209,1.371654153,1.107303858,1.122448683,0.975631475,1.052646518,50.5846696,45.32054332,42.69473867,41.43105983,40.87062609,40.67326723,40.66335847,40.75022739,40.88706116,41.04969104,1330.310628,1489.746288,1615.689021,1849.344355,1963.68715
X10,2.157254696,2.209410667,1.984387279,1.880893707,2.012304306,1.855503798,2.014191151,2.787297964,3.509489059,3.527547121,4.409885406,4.672448635,4.963418961,5.15388155,4.54464817,4.125247955,3.853889227,3.353958368,3.50525713,2.851329803,2.237171888,2.015271902,2.218475103,2.19799614,95.17628474,87.60108002,85.77857057,85.51593415,85.67626537,85.95128644,86.25740626,86.57195867,86.88879762,87.20625657,2777.33976,3067.781284,3259.506597,3668.53235,3840.878596
X16,2.915088177,2.848158598,2.779942274,2.724963903,2.724388123,2.750778913,2.831763744,2.687675476,2.940517902,3.397848368,4.25914526,4.719511509,5.511475563,5.443416595,4.979323387,4.821498394,4.745636463,4.706830502,4.917693615,5.079788208,4.816005707,4.231417179,3.035534143,2.867577553,121.3598006,116.8976388,115.0791155,114.5105971,114.5331249,114.8351201,115.2692572,115.7658757,116.2920375,116.8321685,3742.288915,4255.350372,4623.765315,5300.431279,5635.133934
X18,2.609869957,2.666620255,2.67856431,2.630140305,2.621102571,2.657288551,2.781188011,2.710096836,2.603726387,2.536826372,2.579081059,2.494986057,2.477602959,2.52561903,2.488274574,2.517990589,2.51493454,2.482901335,2.500823975,2.63673234,2.633540154,2.670897007,2.569931746,2.484628677,65.47957534,66.08415068,66.68872603,67.29330137,67.89787671,68.50245205,69.1070274,69.71160274,70.31617808,70.92075342,2310.99437,2891.991274,3351.887671,4035.243247,4458.260548
X20,0.617306173,0.526437819,0.739289939,0.454655617,0.83856976,0.578743339,0.49849534,0.499771237,0.724236906,0.545008719,0.797422469,1.068531752,0.989835382,1.295701027,0.609949529,0.610304892,0.677383304,0.455908686,0.651919067,0.663293123,1.031940818,0.766388178,0.660442829,0.495927304,15.55589482,60.67047992,21.43391575,57.37210082,26.31365369,54.96340342,30.4004967,53.26134342,33.85757604,52.12053632,1439.024495,1945.148571,2351.389622,2914.770288,3290.09232
X26,1.006475568,1.134498954,1.116718531,1.078077197,1.271875143,1.656024575,1.49838078,1.200132966,1.418380737,1.53693378,1.57287097,1.4899652,1.456871748,1.496248722,1.437223792,1.438228488,1.388653755,1.503579974,1.552458882,1.544344783,1.413762093,1.3808676,1.228054643,1.16142416,33.44590695,33.40157045,33.35723396,33.31289746,33.26856096,33.22422447,33.17988797,33.13555147,33.09121498,33.04687848,1016.206645,973.5992716,901.6249493,889.7589569,820.4891609
X30,1.649111867,0.639733911,0.519129753,0.551736414,0.706076801,0.359157711,0.245975003,0.545548975,0.516465187,0.624112725,2.998657703,4.303277493,5.011379242,6.146300793,6.961184978,6.057409286,5.860467434,5.918414116,6.835758209,7.122670174,6.804477692,5.860329151,4.720459938,3.562141657,126.0651476,118.3085829,117.0610163,117.4718275,118.305164,119.2461526,120.2145691,121.1899736,122.1671586,123.1447972,4015.084386,4939.01647,5674.374613,6788.024398,7463.737125
X31,0.219823003,0.271910608,0.277461529,0.283421427,0.314248055,0.43316707,0.460717082,0.474857628,0.51238066,0.501423657,0.536168337,0.533854783,0.530400753,0.500048816,0.530470192,0.533075452,0.500315964,0.487612903,0.502137065,0.492625952,0.470544815,0.465561181,0.456591904,0.293897003,11.17627397,11.26854795,11.36082192,11.45309589,11.54536986,11.63764384,11.72991781,11.82219178,11.91446575,12.00673973,389.3718904,478.0471781,547.0569863,652.5372603,715.9183562
X32,0.225629374,0.132609725,0.128152758,0.143410161,0.136775658,0.512986183,0.535444558,0.558587611,0.595229566,0.629173279,0.620313704,0.643706381,0.583954155,0.573155344,0.572761953,0.54999119,0.587190568,0.579090655,0.579468906,0.571749687,0.574401975,0.500281155,0.496352524,0.205774873,11.38536678,11.37311685,11.36086692,11.348617,11.33636707,11.32411714,11.31186721,11.29961729,11.28736736,11.27511743,347.250154,335.4779741,313.4474207,312.313362,291.0300541
X35,0.006615014,0.006053993,0.005539123,0.006366772,0.005665957,0.005980473,0.006276777,0.005549898,0.008159058,0.009557426,0.007726571,0.005581086,0.005827212,0.006602469,0.005723343,0.005321103,0.00465743,0.00577615,0.006033865,0.00658483,0.005918372,0.005945177,0.005619186,0.006557488,0.143094594,0.143094594,0.143094594,0.143094594,0.143094594,0.143094594,0.143094594,0.143094594,0.143094594,0.143094594,4.435932427,4.435932427,4.292837833,4.435932427,4.292837833
X37,5.510099411,4.546260834,3.66389513,2.724617958,2.443390846,2.353865623,2.3669734,2.223552704,2.204543591,2.288424969,2.292541742,2.403233051,2.266435146,2.246919632,2.272669077,2.672391415,3.902571678,4.698570251,5.140767097,5.460283756,5.907839775,5.783116341,6.319316387,6.125026226,119.7194169,114.8221792,113.6381417,113.6622569,114.0794651,114.6245727,115.2112946,115.8115565,116.4162237,117.0223244,3752.638343,4323.672086,4739.413427,5471.115662,5849.842694
X41,2.983767271,2.750111341,2.602444172,2.497839212,2.289058685,1.297921538,0.89209801,0.717762411,0.520056963,0.520610571,0.735930085,0.746191084,1.100802779,1.764876246,2.320376396,2.375990152,2.269402266,2.580806255,2.638827085,2.760703087,2.669628143,2.750893593,2.840276718,2.876940727,42.71404928,41.19069119,40.4416385,39.97227928,39.60395051,39.27211583,38.95346348,38.63957283,38.3274022,38.01585288,1123.57313,821.5411819,510.2936895,233.0657764,-59.19863845
X42,0.997310102,0.950754285,0.224645481,0.388883114,0.158493653,0.313582748,0.418914616,0.125788182,0.197367981,0.382187873,0.497199893,0.285732299,-0.053922031,0.686667562,2.969675303,3.13752985,4.477471352,4.028411865,3.364893436,3.255142212,2.624440908,2.042431593,1.552198768,1.873813868,48.23908545,44.0496184,42.77929314,42.5894783,42.79961072,43.15778227,43.57074999,44.00400033,44.44475822,44.888295,1485.991513,1902.117214,2248.089008,2743.933403,3062.749837
X43,0.178900287,0.311651677,0.235622615,0.258587331,0.220011696,0.355618507,0.272846699,0.207339928,0.70473659,0.884471834,0.854700506,0.899847627,0.855184853,0.816922665,0.891124129,0.847679377,0.836275876,0.883937359,0.848418653,0.985610843,0.84330672,0.257090867,0.264545411,0.256645143,15.09653662,16.70134368,15.59670321,16.35706288,15.83368279,16.19394219,15.94596402,16.11665539,15.99916301,16.08003681,496.8959992,497.4590079,481.411938,497.4590026,481.411938
X44,0.226148531,-0.060935639,0.05548935,0.223076746,0.190064967,0.209227622,-0.129443169,0.111764394,2.890998602,6.699271679,6.141972542,5.357759476,4.686206818,4.174426556,3.809341192,3.590394735,3.822760105,3.138533831,2.617878675,0.921028912,0.239041865,0.080207355,0.204661503,0.238671869,40.65959532,40.4411328,40.22267027,40.00420775,39.78574522,39.5672827,39.34882017,39.13035765,38.91189512,38.6934326,1158.862381,948.9198945,718.4163651,535.80726,318.6299446
X47,0.100290336,-0.247169301,-0.023598989,-0.08410991,-0.014554046,0.360569835,-0.091717392,-0.048752729,0.120526239,0.284186482,5.614684582,0.845891297,-0.394175828,-0.169111669,-0.147921607,0.248862505,0.664058447,-0.302952617,0.579722703,2.170269966,1.028656602,-0.079653911,-0.000917763,-0.09894982,84.34999311,122.5100703,152.3890407,175.9405279,194.6572696,209.679847,221.8797626,231.9229201,240.3181275,247.4541582,8018.735898,11587.64771,14011.84241,17370.00965,19607.53106
X50,5.487458229,4.643037319,3.91730547,3.755527973,3.048062801,2.945289373,2.243304729,1.926211357,1.868426323,2.693026066,2.434588432,2.901788712,2.322238922,2.944538593,3.522232056,5.114357948,6.178698063,7.07318449,7.745325565,7.887575626,7.09418869,7.193283081,6.749562263,6.378083706,165.8953657,155.919428,153.8674811,154.2599758,155.406547,156.7857404,158.2366944,159.7097857,161.189706,162.671733,5342.605549,6743.773573,7883.147054,9548.063673,10596.97618
X51,14.53931332,14.1501236,13.0888586,11.82450676,11.00740147,8.207673073,7.312626839,7.005023003,7.272098541,7.416923046,7.962028503,8.088699341,8.860170364,10.36733532,11.75799465,13.00186825,14.74205303,15.92677879,18.79828453,17.29582787,17.57063103,18.10571861,16.84624481,16.02088165,348.0488404,314.7138595,314.7138595,314.7138595,314.7138595,314.7138595,314.7138595,314.7138595,314.7138595,314.7138595,9789.464625,9756.129644,9441.415785,9756.129644,9441.415785
X55,9.604825974,1.321879387,1.260619879,1.172245145,1.04462409,1.260055542,0.904968262,1.114629745,4.222763538,13.18167877,13.2183609,13.65510941,13.63790035,13.16278362,14.12693596,13.97498322,14.48561096,13.74894619,13.81227016,14.22436905,14.09151459,14.04953671,13.51699448,13.69922924,310.4708916,305.8814788,306.1512673,307.6342402,309.4201056,311.2815935,313.1619619,315.0470441,316.9333031,318.819856,10245.83435,12047.40286,13385.06233,15615.05929,16837.63307
X59,0.201234147,0.252413899,0.217286378,0.216818318,0.12462692,0.255120724,0.151187167,0.508014679,1.496156216,3.052242517,5.019531727,5.846030712,6.30713129,5.169853687,3.287596226,2.838054657,2.73868227,2.793595552,2.769543648,3.796814203,3.628184557,3.093459845,1.981308937,1.060586929,96.79038742,71.78306858,80.67121937,78.49005738,79.92382348,80.17705512,80.81581632,81.32867434,81.88264882,82.42319582,2670.820284,3178.943157,3574.021676,4207.368306,4569.27182
X61,0.879556179,0.773267508,0.705699086,0.708387554,0.621180356,0.582861483,0.764591396,1.066294074,2.429819107,3.190659761,3.62238431,3.626753092,3.332863331,3.592905283,3.432053089,3.414482832,3.611668587,3.632534504,3.532361507,3.364581823,3.18829751,3.012158155,2.696432352,1.584298611,68.67951149,68.77678969,68.87406788,68.97134608,69.06862428,69.16590248,69.26318068,69.36045888,69.45773707,69.55501527,2174.299218,2267.783567,2283.63881,2451.736641,2461.657914
X62,0.195931584,0.318823993,0.22357735,0.228279635,0.27303946,0.243895829,0.275887311,0.384569436,0.379743159,0.432070017,0.445896029,0.319143414,0.432019711,0.499365687,0.496228456,0.388817906,0.249078348,0.218347043,0.395386636,0.35678938,0.248468846,0.219539434,0.152466312,0.190062106,17.21769071,22.24266847,19.86051491,21.46155076,20.92062406,21.53153904,21.52305044,21.8476465,21.99312608,22.23492566,725.5902155,927.6272007,1088.130362,1321.175547,1468.9836
X67,0.438905746,0.290287495,0.224006653,0.235431448,0.29400152,0.288012624,0.273815274,0.29395926,0.24439612,0.768812954,1.440441132,1.559196353,1.531720161,1.409345388,1.332187891,1.287102342,1.37316215,1.262283325,0.900992632,0.45649004,0.394109726,0.389414638,0.399698257,0.402316928,18.89235333,18.20987277,18.01518643,17.94848392,17.91536086,17.89104812,17.86904698,17.84765233,17.82641681,17.80522304,549.2378894,527.6695318,491.2692242,487.6201982,452.5118045
